County,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
"Stormont, Dundas and Glengarry",139200,137541,49.53432067528955,6813,185.4180274330503
Eastern Ontario,436200,431002,48.705110417121034,20992,571.3041585020684
Algoma,700,697,0,0,0
Cochrane,N/A,N/A,N/A,N/A,0
Greater Sudbury,N/A,N/A,N/A,N/A,0
Kenora,N/A,N/A,N/A,N/A,0
Manitoulin,500,498,34.1,17,0.462660570433268
Nipissing,3600,3582,42.992741485203794,154,4.1911604615719575
Rainy River,3500,3483,46.51162790697674,162,4.408883082952319
Sudbury,100,100,0,0,0
Thunder Bay,600,597,0,0,0
Timiskaming,9900,9851,43.95492843366156,433,11.784236882212062
Northern Ontario,19500,19300,42.33160621761658,817,22.23492270846941
Ontario,3020000,3005000,51.36139767054908,154341,4200.440888308295
,,,,,
2017,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
Brant,67900,67577,47.264601861580125,3194,86.9257565861093
Chatham-Kent,224400,223333,50.23574662051735,11219.3,305.3369257565861
Elgin,101100,100619,44.596944911000904,4487.3,122.12333986501199
Essex,182900,182030,52.458935340328516,9549.1,259.88188547790116
Haldimand-Norfolk,155100,154363,44.23210225248278,6827.8,185.82081428260398
Hamilton,39200,39014,49.96667862818475,1949.4,53.05355976485957
Lambton,304500,303052,50.583398228686825,15329.4,417.19464402351406
Middlesex,200200,199248,44.79894402955111,8926.1,242.9267363379055
Niagara,91000,90567,46.39990283436572,4202.3,114.36697147833661
Oxford,106100,105596,51.680934883897116,5457.3,148.5222077073808
Southern Ontario,1472400,1465399,48.547869897550086,71142,1936.152841280209
Bruce,121700,121158,42.42724376434078,5140.4,139.8976703679512
Dufferin,29000,28871,40.60129541754702,1172.2,31.90180709775746
Grey,53900,53660,44.82668654491241,2405.4,65.46374918354017
Halton,23700,23595,35.29137529137529,832.7,22.66220335292837
Huron,169000,168248,51.62854833341258,8686.4,236.40322229479642
Peel,32200,32057,48.310821349471254,1548.7,42.14837796647072
Perth,122900,122353,50.57415837780847,6187.9,168.4057261049423
Simcoe,143400,142762,40.40711113601659,5768.6,156.99433921184414
Waterloo,31800,31658,47.60566049655695,1507.1,41.016220335292836
Wellington,103700,103238,43.69127646796722,4510.6,122.75745699978229
Western Ontario,831300,827600,45.625906234896085,37759.99999999999,1027.6507729153057
Durham,46100,46060,39.6048632218845,1824.2,49.646200740256916
Haliburton,100,100,44,4.4,0.1197474417591988
Hastings,24100,24079,39.90198928526932,960.8,26.148486827781404
Kawartha Lakes,47200,47159,40.255306516253526,1898.4,51.66557805355977
Muskoka,0,0,N/A,0,0
Northumberland,48900,48858,40.21040566539768,1964.6,53.46723274548226
Parry Sound,200,200,44,8.8,0.2394948835183976
Peterborough,17500,17485,36.62567915356019,640.4,17.42869584149793
Prince Edward,24000,23979,33.73785395554444,809,22.017200087089048
York,22600,22580,37.30292294065545,842.3,22.923470498584802
Central Ontario,230700,230500,38.8412147505423,8952.9,243.6561071195297
Frontenac,8910,8841,41.81427440334804,369.68,10.0609623339865
Lanark,23850,23665,36.95710965560955,874.59,23.802253429131287
Leeds and Grenville,42260,41933,37.07938854839863,1554.85,42.315752231656866
Lennox and Addington,16360,16233,47.53218751925091,771.59,20.999074678859134
Ottawa,66500,65985,38.95733878911874,2570.6,69.95972131504463
Prescott and Russell,111550,110686,37.02211661818116,4097.83,111.5237861963858
Renfrew,30240,30006,39.77771112444178,1193.57,32.483398650119746
"Stormont, Dundas and Glengarry",204031,202451,45.06912783834113,9124.29,248.32054212932727
Eastern Ontario,503701,499800,41.130452180872346,20557,559.4654909645112
Algoma,100,100,33.4,3.34,0.09089919442630089
Cochrane,0,0,N/A,0,0
Greater Sudbury,600,597,27.98994974874372,16.71,0.4547681254082299
Kenora,100,100,33.4,3.34,0.09089919442630089
Manitoulin,0,0,N/A,0,0
Nipissing,2700,2687,37.25716412355787,100.11,2.724526453298498
Rainy River,8000,7961,31.5739228740108,251.36,6.840844763770956
Sudbury,300,299,27.926421404682273,8.35,0.22724798606575222
Thunder Bay,600,597,27.98994974874372,16.71,0.4547681254082299
Timiskaming,24500,24380,28.264150943396228,689.08,18.753537992597433
Northern Ontario,36900,36721,29.656055118324666,1089,29.637491835401697
Ontario,3075000,3060000,45.58827902702565,139500,3796.5382103200523
,,,,,
2016,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
Brant,49100,49100,43.54989816700611,2138.3,58.19453516220336
Chatham-Kent,202700,202700,53.78687715836211,10902.6,296.71783148269105
Elgin,108300,108300,56.38042474607572,6106,166.17679076856086
Essex,207600,207600,52.02938342967245,10801.3,293.9609187894622
Haldimand-Norfolk,146800,145700,32.706932052161974,4765.4,129.69192249074678
Hamilton,23700,23300,40.15021459227468,935.5,25.459939037666015
Lambton,242200,242200,53.5532617671346,12970.6,352.9991291095145
Middlesex,150200,150200,53.394806924101196,8019.9,218.26420640104507
Niagara,67600,66700,33.511244377811096,2235.2,60.831700413672976
Oxford,126600,126600,52.77330173775671,6681.1,181.8283257130416
Southern Ontario,1324800,1322400,49.573427102238355,65555.9,1784.1252993686041
Bruce,79800,79800,46.4937343358396,3710.2,100.97430873067711
Dufferin,30600,30400,37.48026315789474,1139.4,31.009144350097976
Grey,42800,42800,39.8411214953271,1705.2,46.40757674722404
Halton,14170,14200,34.78169014084507,493.9,13.441650337470062
Huron,192070,192100,49.05674128058303,9423.8,256.4718049205312
Peel,17600,17000,26,442,12.02917483126497
Perth,116370,116400,52.146907216494846,6069.9,165.19431743958197
Simcoe,128570,128600,36.88491446345257,4743.4,129.09318528195078
Waterloo,28610,28600,42.75874125874126,1222.9,33.2816242107555
Wellington,116540,116500,46.131330472103,5374.3,146.26333551055956
Western Ontario,767130,766400,44.78731732776618,34325,934.1661223601133
Durham,61900,61900,36.439418416801296,2255.6,61.3868930981929
Haliburton,0,0,N/A,0,0
Hastings,16300,16200,30.246913580246915,490,13.335510559547137
Kawartha Lakes,32600,32400,31.910493827160494,1033.9,28.137927280644462
Muskoka,0,0,N/A,0,0
Northumberland,42300,42300,31.79432624113475,1344.9,36.601894186806014
Parry Sound,0,0,N/A,0,0
Peterborough,25100,25100,25.900398406374503,650.1,17.69268451992162
Prince Edward,18900,14400,21.36111111111111,307.6,8.371434792074897
York,17790,17800,39.268539325842696,698.98,19.02296973655563
Central Ontario,214890,210100,32.27548786292242,6781.08,184.54931417374266
Frontenac,9740,9740,25.151950718685832,244.98,6.667210973220118
Lanark,9210,9210,43.25407166123779,398.37,10.841770084911822
Leeds and Grenville,40390,40120,39.8235294117647,1597.72,43.482473328978884
Lennox and Addington,25930,24240,29.807343234323433,722.53,19.663890703244068
Ottawa,48960,48940,46.02390682468329,2252.41,61.30007620291748
Prescott and Russell,85350,85350,46.795547744581135,3994,108.69801872414544
Renfrew,26930,26930,43.98737467508355,1184.58,32.23873285434357
"Stormont, Dundas and Glengarry",131970,131950,45.353618794998106,5984.41,162.8676790768561
Eastern Ontario,378480,376480,43.50563110922227,16379,445.75985194861744
Algoma,0,0,N/A,0,0
Cochrane,0,0,N/A,0,0
Greater Sudbury,0,0,N/A,0,0
Kenora,0,0,N/A,0,0
Manitoulin,0,0,N/A,0,0
Nipissing,2750,2740,48.32846715328467,132.42,3.603853690398432
Rainy River,0,0,N/A,0,0
Sudbury,0,0,N/A,0,0
Thunder Bay,740,740,42.7972972972973,31.67,0.8619094273895058
Timiskaming,21210,21220,37.41328934967012,793.91,21.60652079251034
Northern Ontario,24700,24700,38.78542510121458,958,26.07228391029828
Ontario,2710000,2700000,45.92418743148351,124000,3374.700631395602
,,,,,
2015,Acres seeded ,Acres harvested,Yield (cwt/ac),Production ('000 cwt),Production ('000 tonnes)
Brant,37973.81116471399,37973.81116471399,43.1,1637,44.551491399956454
Chatham-Kent,224844.9345279118,224844.9345279118,48.68,10945,297.871761376007
Elgin,119917.29841488629,119917.29841488627,43,5156,140.32222947964294
Essex,178876.63680220538,178876.63680220538,45,8049,219.05617243631613
Haldimand-Norfolk,171881.46106133703,171881.46106133703,38,6531,177.74330502939256
Hamilton,32977.25706409373,32977.25706409373,41,1352,36.79512301328108
Lambton,327773.9490006892,327773.9490006892,45.9,15045,409.4546048334422
Middlesex,172880.77188146106,172880.77188146106,46,7953,216.4435009797518
Niagara,87939.35217091661,87939.35217091661,39.1,3438,93.56629653821032
Oxford,91936.59545141281,91936.59545141281,45,4137,112.5898105813194
Southern Ontario,1447002.067539628,1447002.067539628,44.39731044008382,64243,1748.3942956673197
Bruce,97932.46037215713,97932.46037215715,47.8,4681,127.39494883518398
Dufferin,19986.216402481048,19986.216402481048,41.5,829,22.561506640539953
Grey,30978.635423845626,30978.635423845626,44.5,1379,37.5299368604398
Halton,19986.216402481048,19986.216402481048,36,720,19.595035924232526
Huron,185871.81254307373,185871.81254307373,47.3,8792,239.2771608970172
Peel,26981.392143349414,26981.39214334941,39.6,1068,29.06596995427825
Perth,106926.25775327362,106926.2577532736,49,5239,142.5811016764642
Simcoe,124913.85251550654,124913.85251550654,45.3,5659,154.01153929893317
Waterloo,29979.324603721572,29979.324603721572,46,1379,37.5299368604398
Wellington,137904.89317711923,137904.89317711923,46.9,6468,176.0287393860222
Western Ontario,781461.061337009,781461.061337009,46.34140047623247,36214,985.575876333551
Durham,56960.71674707099,56960.716747071,40.1,2284,62.159808404093184
Haliburton,0,0,0,,0
Hastings,0,0,,0,0
Kawartha Lakes,28980.01378359752,28980.01378359752,39.8,1153,31.37927280644459
Muskoka,0,0,0,,0
Northumberland,60957.96002756719,60957.96002756719,40.3,2457,66.8680600914435
Parry Sound,0,0,0,,0
Peterborough,40971.74362508615,40971.74362508615,39.4,1614,43.925538863487915
Prince Edward,30978.635423845626,30978.635423845626,41.8,1295,35.243849335946
York,24982.77050310131,24982.77050310131,38.4,959,26.099499237970825
Central Ontario,243831.84011026882,243831.84011026882,40.03578858111927,9762,265.676028739386
Frontenac,7994.486560992419,7994,41.1,329,8.953842804267364
Lanark,15988.973121984838,15980,47.6,761,20.71086435880688
Leeds and Grenville,37973.81116471399,37974,46.6,1770,48.17112998040496
Lennox and Addington,15988.973121984838,15988.97312198484,41.6,665,18.098192902242545
Ottawa,54962.09510682288,54962.09510682288,54.9,3017,82.1086435880688
Prescott and Russell,110923.50103376982,110923.50103376982,52,5768,156.97801001524059
Renfrew,34975.878704341834,34975.878704341834,48,1679,45.69453516220335
"Stormont, Dundas and Glengarry",133907.649896623,133907.649896623,54.4,7285,198.26366209449162
Eastern Ontario,412715.3687112336,412706.0978635424,51.54757855560947,21274,578.9788809057261
Algoma,371.32733096392207,371,26,9.646,0.2625190507293708
Cochrane,0,0,0,0,0
Greater Sudbury,676.3462099700009,676,28,18.928,0.5151317221859352
Kenora,0,0,0,0,0
Manitoulin,278.4954982229416,278,25,6.95,0.189146527324189
Nipissing,1746.122568223205,1700,39.5,67.15,1.8275092532114088
Rainy River,0,0,33,0,0
Sudbury,0,0,39,0,0
Thunder Bay,333.7525415211442,300,33,9.9,0.26943174395819725
Timiskaming,11683.549234971977,11684,34,397.256,10.811452209884607
Northern Ontario,15089.59338387319,15009,33.96828569524952,509.83,13.875190507293707
Ontario,2900099.931082012,2900010.066850448,45.51805923327759,132002.83,5987.5
,,,,,
2014,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
Brant,50966.796875,50900,45,2291,62.350315697801
Chatham-Kent,226852.2135416667,226700,51,11562,314.66361854996734
Elgin,121920.57291666666,121800,48,5846,159.10080557369912
Essex,183880.20833333334,183800,51,9374,255.11648160243848
Haldimand-Norfolk,183880.20833333334,183800,44,8087,220.09035488787285
Hamilton,47968.75,47900,44,2108,57.369910733725234
Lambton,303802.0833333333,303600,34.4,10444,284.23688221206186
Middlesex,197871.09375,197800,45,8901,242.24363161332462
Niagara,89941.40625,89900,47,4225,114.98475941650338
Oxford,104931.640625,104900,52,5455,148.45961245373394
Southern Ontario,1512014.9739583335,1511100,45.1942293693336,68293,1858.6163727411279
Bruce,123919.27083333334,123300,47,5795,157.71282386239932
Dufferin,17988.28125,17900,44,788,21.4456782059656
Grey,51966.14583333333,51800,43,2227,60.60853472675811
Halton,16988.932291666668,16900,44,744,20.248203788373612
Huron,177884.11458333334,177100,49,8678,236.17461354234706
Peel,31979.166666666664,31800,47,1495,40.68691487045504
Perth,129915.36458333334,129300,50,6465,175.94709340300457
Simcoe,111927.08333333334,111400,47,5236,142.49945569344655
Waterloo,39973.958333333336,39800,48,1910,51.98127585456129
Wellington,126917.31770833334,126400,47,5941,161.6862617025909
Western Ontario,829459.6354166669,825700,47.57054620322151,39279,1068.990855649902
Durham,64957.68229166667,64800,44,2851,77.5908991944263
Haliburton,,,,0,0
Hastings,28981.119791666664,28900,44,1272,34.617896799477464
Kawartha Lakes,36975.911458333336,36900,44,1624,44.19769214021337
Muskoka,,,,0,0
Northumberland,45970.052083333336,45900,43,1974,53.72305682560418
Parry Sound,,,,0,0
Peterborough,30979.817708333336,30900,39,1205,32.79446984541694
Prince Edward,29980.46875,29900,34,1017,27.677988242978447
York,30979.817708333336,30900,42,1298,35.32549531896364
Central Ontario,268824.8697916667,268200,41.91275167785235,11241,305.9274983670803
Frontenac,16988.932291666668,16900,44,744,20.248203788373612
Lanark,21985.677083333332,21900,44,964,26.235575876333552
Leeds and Grenville,40973.307291666664,40700,42,1709,46.51099499237971
Lennox and Addington,20986.328125,20900,43,899,24.466579577618116
