Location,Year,Area Planted (acres),Harvested (tonnes)
North-West,2005-2006,24710.538146716997,27000
North-West,2006-2007,22239.4843320453,18000
North-West,2007-2008,14826.3228880302,15000
North-West,2008-2009,16061.849795366048,18525
North-West,2009-2010,24710.538146716997,27000
North-West,2010-2011,49421.076293433995,50000
North-West,2011-2012,51892.130108105695,31500
North-West,2012-2013,54363.183922777396,22750
North-West,2013-2014,39536.8610347472,32000
North-West,2014-2015,86486.8835135095,52500
North-West,2015-2016,38301.33412741135,14100
North-West,2016-2017,56834.2377374491,52900
North-West,2017-2018,88957.9373281812,61200
North-West,2018-2019,88957.9373281812,48600
Northern Cape,1998-1999,1235.52690733585,1300
Northern Cape,1999-2000,988.42152586868,1040
Northern Cape,2000-2001,617.763453667925,675
Northern Cape,2001-2002,0.0,0
Northern Cape,2002-2003,0.0,0
Northern Cape,2003-2004,395.368610347472,375
Northern Cape,2004-2005,247.10538146717,300
Northern Cape,2005-2006,1235.52690733585,1500
Northern Cape,2006-2007,1235.52690733585,1500
Northern Cape,2007-2008,1235.52690733585,1750
Northern Cape,2008-2009,1853.290361003775,2250
Northern Cape,2009-2010,1606.184979536605,1950
Northern Cape,2010-2011,1235.52690733585,1500
Northern Cape,2011-2012,1235.52690733585,1500
Northern Cape,2012-2013,4942.1076293434,7000
Northern Cape,2013-2014,9637.10987721963,14040
Northern Cape,2014-2015,9884.2152586868,14000
Northern Cape,2015-2016,9884.2152586868,13600
Northern Cape,2016-2017,7413.1614440151,10500
Northern Cape,2017-2018,7413.1614440151,10500
Northern Cape,2018-2019,3830.1334127411346,5425
Western Cape,1998-1999,0.0,0
Western Cape,1999-2000,0.0,0
Western Cape,2000-2001,0.0,0
Western Cape,2001-2002,0.0,0
Western Cape,2002-2003,197.684305173736,120
Western Cape,2003-2004,74.131614440151,90
Western Cape,2004-2005,345.947534054038,420
Western Cape,2005-2006,172.973767027019,70
Western Cape,2006-2007,0.0,0
Western Cape,2007-2008,0.0,0
Western Cape,2008-2009,0.0,0
Western Cape,2009-2010,0.0,0
Western Cape,2010-2011,0.0,0
Western Cape,2011-2012,0.0,0
Western Cape,2012-2013,0.0,0
Western Cape,2013-2014,0.0,0
Western Cape,2014-2015,1976.84305173736,1600
Western Cape,2015-2016,1976.84305173736,1200
Western Cape,2016-2017,1729.73767027019,1050
Western Cape,2017-2018,1976.84305173736,1200
Western Cape,2018-2019,247.10538146717,10
